标签	问题数	关注数	精选数	简介	url
新浪视频	57	140	7	2004年底，伴随网络视频刚刚在世界范围内兴起，宽带时代和流媒体技术发展的必然，新浪视频的前身新浪宽频成立。2006年12月，作为门户网站第一个视频分享平台——新浪播客成立了；2009年3月，经过2年多的发展和壮大，新浪播客与合并新浪宽频，成立门户网站中第一个视频频道——新浪视频。	https://www.zhihu.com/topic/19590003/hot
电音	2	0	4	电子音乐（Electronicmusic，也称TECHML），简称电音。广义而言，只要是使用电子设备所创造的音乐，都可属之。任何以电子合成器、效果器、电脑音乐软件、鼓机等“乐器”所产生的电子声响，都可合理地称为电子音乐。极狭义而言，电子音乐指涉科技(Techno)、出神(Trance)等种类的乐曲。	https://www.zhihu.com/topic/19590007/hot
